CustomerID,Age,Tenure_Months,Monthly_Charges,Total_Charges,Contract_Type,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Paperless_Billing,Payment_Method,Customer_Service_Calls,Churn
CUST00001,56,11,53.08893629891719,5201.350029755337,Two year,No,No,Yes,Yes,Yes,Yes,No,No,Electronic check,7,1
CUST00002,69,26,64.8777573831403,453.74975898687893,Month-to-month,DSL,Yes,Yes,No,No,No,No,Yes,Electronic check,3,1
CUST00003,46,63,86.93904014593613,6119.063879046082,Two year,Fiber optic,Yes,Yes,No,Yes,No,Yes,No,Electronic check,7,1
CUST00004,32,59,34.57565682447517,7578.491028549015,Month-to-month,Fiber optic,Yes,No,No,Yes,No,Yes,No,Credit card,8,0
CUST00005,60,27,64.94338352137376,2784.1737344938315,One year,DSL,Yes,Yes,Yes,No,No,Yes,No,Mailed check,6,0
CUST00006,25,49,78.78843711103869,4186.191115543223,One year,Fiber optic,Yes,Yes,No,No,Yes,No,Yes,Credit card,1,0
CUST00007,78,33,114.85833548514337,3093.3911966646338,One year,Fiber optic,No,No,No,No,No,No,No,Credit card,8,0
CUST00008,38,1,45.25277820754192,153.01208340207364,Two year,Fiber optic,No,Yes,No,Yes,Yes,Yes,Yes,Electronic check,7,0
CUST00009,56,21,55.92507479162455,3148.408572871416,Month-to-month,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Bank transfer,4,1
CUST00010,75,55,57.93585899224238,6354.590048164637,One year,DSL,Yes,No,Yes,No,Yes,No,No,Mailed check,2,0
CUST00011,36,6,80.55381576448829,4808.311853249506,Month-to-month,DSL,No,Yes,Yes,Yes,No,Yes,Yes,Electronic check,6,0
CUST00012,40,69,55.67320530400016,899.9533254597555,One year,Fiber optic,Yes,No,Yes,No,Yes,No,Yes,Mailed check,1,1
CUST00013,28,5,73.35119252996955,6792.401968580902,Two year,Fiber optic,Yes,Yes,No,Yes,Yes,No,No,Credit card,2,1
CUST00014,28,3,98.17903298450294,4295.574224593419,Two year,DSL,Yes,Yes,No,Yes,No,Yes,No,Mailed check,8,1
CUST00015,41,53,90.53855941122036,6749.614557782941,Month-to-month,DSL,No,Yes,Yes,Yes,No,Yes,No,Mailed check,3,1
CUST00016,70,23,64.63686465125855,4683.749998401732,Two year,DSL,Yes,Yes,Yes,Yes,No,No,No,Bank transfer,3,0
CUST00017,53,53,106.42161776741689,4521.538714219725,Two year,Fiber optic,No,No,No,Yes,Yes,No,No,Electronic check,2,1
CUST00018,57,37,75.81402495938629,931.5475630563978,Month-to-month,Fiber optic,No,No,No,Yes,No,No,No,Mailed check,4,1
CUST00019,41,17,73.99058395022125,1422.1418917951607,One year,No,Yes,Yes,Yes,No,Yes,No,Yes,Mailed check,2,0
CUST00020,20,1,23.41877659391582,7778.999526323069,Two year,DSL,Yes,Yes,Yes,No,Yes,No,No,Credit card,8,1
CUST00021,39,51,118.66929803571615,1905.045299362689,Month-to-month,Fiber optic,No,No,Yes,No,No,Yes,No,Credit card,2,1
CUST00022,70,45,32.29708085296267,7821.871732123906,Two year,DSL,No,Yes,Yes,Yes,Yes,No,Yes,Mailed check,1,0
CUST00023,19,4,43.11309124276466,4302.110381541681,Two year,Fiber optic,No,No,No,No,Yes,No,No,Electronic check,4,1
CUST00024,41,62,25.169683724152698,1172.7334718051034,Two year,DSL,No,Yes,Yes,Yes,Yes,No,Yes,Mailed check,5,0
CUST00025,61,65,84.00029668369137,884.4874017541742,Two year,Fiber optic,No,No,Yes,No,Yes,Yes,No,Mailed check,0,1
CUST00026,47,32,42.470117697267995,1750.0261585753458,Month-to-month,No,No,No,No,Yes,No,Yes,No,Bank transfer,5,0
CUST00027,55,34,38.00104374727235,7412.534907200153,Month-to-month,No,Yes,No,No,No,Yes,No,Yes,Electronic check,9,0
CUST00028,19,72,28.855558422324137,3371.7867721929915,Month-to-month,DSL,No,Yes,No,Yes,No,No,No,Bank transfer,2,1
CUST00029,77,39,30.330895712401567,3223.9307171440237,Two year,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,Electronic check,3,0
CUST00030,38,26,78.46707004425888,2574.3294624543746,Two year,Fiber optic,No,Yes,No,Yes,Yes,Yes,No,Electronic check,5,1
CUST00031,50,34,88.82078658665954,1261.7886194760483,Two year,DSL,No,Yes,Yes,No,No,Yes,No,Electronic check,7,1
CUST00032,29,54,59.7378988464401,3954.024457820011,Month-to-month,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bank transfer,8,1
CUST00033,75,3,67.98970815920732,1127.3774818379957,Two year,DSL,Yes,No,Yes,No,Yes,No,No,Bank transfer,5,0
CUST00034,39,50,88.59677359829841,6700.293867420388,One year,Fiber optic,No,No,No,No,Yes,Yes,No,Bank transfer,6,1
CUST00035,78,12,21.737979018547964,3026.136191574921,Two year,DSL,No,No,Yes,No,Yes,No,Yes,Credit card,4,0
CUST00036,61,65,52.31306570702785,3060.948185476191,One year,Fiber optic,No,No,No,Yes,Yes,No,No,Bank transfer,8,0
CUST00037,42,54,117.30977480703464,3844.6507850169314,Two year,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Credit card,3,1
CUST00038,66,5,78.01122296954681,3608.6089340094377,Month-to-month,Fiber optic,Yes,No,Yes,Yes,No,Yes,No,Credit card,9,1
CUST00039,44,57,45.422457989749326,7959.37798716864,Two year,No,Yes,No,No,Yes,No,Yes,Yes,Credit card,5,0
CUST00040,76,17,72.17300466362131,4408.51085762459,One year,Fiber optic,Yes,Yes,No,Yes,No,Yes,No,Mailed check,4,0
CUST00041,59,47,54.26534881209153,796.7934599399784,One year,DSL,Yes,No,Yes,No,Yes,No,Yes,Mailed check,0,1
CUST00042,45,23,73.22449888262992,4894.330998457746,Two year,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Mailed check,4,0
CUST00043,77,14,32.574151180664884,1297.5159136720517,One year,Fiber optic,No,No,Yes,No,Yes,No,No,Credit card,4,1
CUST00044,33,66,33.27146538192774,344.4073933776016,One year,No,Yes,No,Yes,No,No,Yes,No,Credit card,8,0
CUST00045,32,51,34.35423620393929,7768.86301405026,Month-to-month,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Yes,Electronic check,0,1
CUST00046,79,38,113.98197919268418,6210.9572431230545,Two year,No,No,No,No,No,No,Yes,No,Credit card,4,1
CUST00047,79,64,93.28989183413418,7842.8610400687585,Two year,DSL,Yes,Yes,No,Yes,Yes,No,Yes,Mailed check,6,1
CUST00048,64,38,36.238189466232086,3875.239739375715,Two year,Fiber optic,No,No,No,Yes,Yes,Yes,No,Credit card,5,0
CUST00049,79,50,38.83490837656014,4304.834496076911,One year,Fiber optic,Yes,Yes,No,Yes,Yes,No,No,Credit card,5,0
CUST00050,68,30,93.08294748708764,1429.8619517611287,Two year,DSL,No,No,Yes,No,No,No,Yes,Electronic check,6,0
CUST00051,61,51,35.616384479217395,2050.568670673926,Two year,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Credit card,5,1
CUST00052,72,63,43.45612933348286,6724.538797732343,Month-to-month,DSL,No,Yes,No,Yes,No,No,No,Bank transfer,4,1
CUST00053,69,52,116.3346832820399,2913.8666122289937,Month-to-month,DSL,No,No,Yes,Yes,Yes,No,No,Electronic check,9,0
CUST00054,74,38,45.53065247284319,6631.83829299171,Month-to-month,No,No,No,No,No,Yes,Yes,No,Credit card,4,0
CUST00055,20,30,86.16323503711467,5701.208421867551,One year,DSL,Yes,Yes,Yes,Yes,No,Yes,No,Credit card,8,1
CUST00056,54,51,117.86312874005304,1499.6503096477375,Two year,Fiber optic,Yes,No,Yes,No,Yes,Yes,No,Electronic check,7,1
CUST00057,68,5,57.42967671397926,4108.826292345962,Month-to-month,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Credit card,9,1
CUST00058,24,29,21.751599086206223,5451.359839997863,Month-to-month,Fiber optic,No,No,No,Yes,Yes,Yes,No,Mailed check,3,1
CUST00059,38,4,44.414729042237425,1956.7939969502183,Month-to-month,DSL,No,Yes,No,No,Yes,No,No,Bank transfer,3,1
CUST00060,26,10,103.08771913417054,6662.439233108607,Two year,Fiber optic,Yes,No,No,No,No,Yes,Yes,Bank transfer,9,1
CUST00061,56,56,106.46088359550367,4404.138494606976,Two year,Fiber optic,No,Yes,No,Yes,No,No,Yes,Mailed check,4,1
CUST00062,35,17,96.85193645237912,1405.4121984965652,Two year,Fiber optic,No,No,Yes,Yes,Yes,No,Yes,Credit card,2,0
CUST00063,21,17,31.3109819076573,4705.57696670036,One year,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,No,Credit card,7,0
CUST00064,42,69,99.55103716964031,7997.739052831721,One year,Fiber optic,No,Yes,Yes,No,No,No,Yes,Bank transfer,6,1
CUST00065,77,34,111.86777969935042,1289.119784140967,Month-to-month,Fiber optic,Yes,No,Yes,Yes,Yes,No,Yes,Credit card,4,0
CUST00066,31,6,80.06095425462361,6552.379747944272,Two year,DSL,No,No,No,No,No,Yes,Yes,Bank transfer,9,1
CUST00067,67,53,114.08753563380648,1737.741125181708,Month-to-month,Fiber optic,No,Yes,Yes,No,Yes,No,Yes,Bank transfer,2,1
