date,sales
2023-01-01,15000
2023-01-02,16500
2023-01-03,14200
2023-01-04,17800
2023-01-05,18200
2023-01-06,19100
2023-01-07,18500
2023-01-08,16800
2023-01-09,17200
2023-01-10,18900
2023-01-11,20100
2023-01-12,19800
2023-01-13,21000
2023-01-14,22100
2023-01-15,21500
2023-01-16,22800
2023-01-17,23100
2023-01-18,24200
2023-01-19,23800
2023-01-20,25100
2023-01-21,26200
2023-01-22,25800
2023-01-23,27100
2023-01-24,28000
2023-01-25,27600
2023-01-26,28900
2023-01-27,29800
2023-01-28,30100
2023-01-29,31200
2023-01-30,30800
2023-02-01,32100
2023-02-02,31500
2023-02-03,33200
2023-02-04,34100
2023-02-05,33800
2023-02-06,35200
2023-02-07,36100
2023-02-08,35600
2023-02-09,37200
2023-02-10,38100
2023-02-11,37800
2023-02-12,39200
2023-02-13,40100
2023-02-14,39800
2023-02-15,41200
2023-02-16,42100
2023-02-17,41800
2023-02-18,43200
2023-02-19,44100
2023-02-20,43800
2023-02-21,45200
2023-02-22,46100
2023-02-23,45800
2023-02-24,47200
2023-02-25,48100
2023-02-26,47800
2023-02-27,49200
2023-02-28,50100
2023-03-01,49800
2023-03-02,51200
2023-03-03,52100
2023-03-04,51800
2023-03-05,53200
2023-03-06,54100
2023-03-07,53800
2023-03-08,55200
2023-03-09,56100
2023-03-10,55800
2023-03-11,57200
2023-03-12,58100
2023-03-13,57800
2023-03-14,59200
2023-03-15,60100
2023-03-16,59800
2023-03-17,61200
2023-03-18,62100
2023-03-19,61800
2023-03-20,63200
2023-03-21,64100
2023-03-22,63800
2023-03-23,65200
2023-03-24,66100
2023-03-25,65800
2023-03-26,67200
2023-03-27,68100
2023-03-28,67800
2023-03-29,69200
2023-03-30,70100
2023-03-31,69800
2023-04-01,71200
2023-04-02,72100
2023-04-03,71800
2023-04-04,73200
2023-04-05,74100
2023-04-06,73800
2023-04-07,75200
2023-04-08,76100
2023-04-09,75800
2023-04-10,77200
2023-04-11,78100
2023-04-12,77800
2023-04-13,79200
2023-04-14,80100
2023-04-15,79800
2023-04-16,81200
2023-04-17,82100
2023-04-18,81800
2023-04-19,83200
2023-04-20,84100
2023-04-21,83800
2023-04-22,85200
2023-04-23,86100
2023-04-24,85800
2023-04-25,87200
2023-04-26,88100
2023-04-27,87800
2023-04-28,89200
2023-04-29,90100
2023-04-30,89800
2023-05-01,91200
2023-05-02,92100
2023-05-03,91800
2023-05-04,93200
2023-05-05,94100
2023-05-06,93800
2023-05-07,95200
2023-05-08,96100
2023-05-09,95800
2023-05-10,97200
